Product ID,Product Name,Product Type,Category,Brand Name,Product Line Name,Ingredients,Use Instructions,Package Size,Product Description,Product Colour,Country of Origin,Date Added,Barcode (EAN/UPC),"Barcode Type (e.g., EAN-13, UPC-A)",Batch Number,SKU,Benefits,Product Image URL,Hero Ingriedients Match,Key Ingriedients,Key Ingriedients2,Key Ingriedients3,Key Ingriedients4,Key Ingriedients5,Product Images,Verification Status,Verification Date,"Notes (For internal use: flags, manual checks, comments, etc.)",Source
1,Skin Light Body Lotion With Carrot Extract and Vitamin E 16.9 oz,skin care,Lotion,Skin Light,,,,16.9 oz,"Skin Light Body Lotion With Carrot Extract and Vitamin E 16.9 oz Skin light milk has been developed to take gentle care of your skin and soften. Conveys an even complexion, help renving daeks blocches and pimples. Makes your skin healthy,radiant, soft and satin-smooth. Quality not all altered by change accruing in the color of product.",,,2025-08-25,,,,6181100461855.0,,https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2612_9949953301.png,,,,,,,,,,,https://www.lisabeautysupply.com/product/skin-light-body-lotion-with-carrot-extract-and-vitamin-e-16-9-oz/
2,Aveeno Positively Radiant Skin Brightening Exfoliating Face Scrub 7 oz,skin care,Scrub,Aveeno Positively,,,,7 oz,"Aveeno Positively Radiant Skin Brightening Exfoliating Face Scrub 7 oz Gently remove impurities for softer, brighter, more even-toned skin with Aveeno Positively Radiant Skin Brightening Daily Scrub. This brightening facial scrub gently exfoliates skin and helps improve tone, texture, and clarity to reveal brighter, more radiant skin. It’s designed to help improve dullness and blotchiness, so your skin looks and feels fresh. The unique formula of this gentle face scrub combines moisture-rich soy extract with naturally derived granules to exfoliate while you cleanse. The face scrub is also made with jojoba and castor oils, for skin that is softer, brighter and more even-toned. The soap-free formula is hypoallergenic, non-comedogenic, and gentle enough for sensitive skin and everyday use.The Positively Radiant collection is designed to enhance your natural radiance and give you a lit-from-within glow. Each soy enriched product enriched product targets even tone and texture. 7-oz tube of Aveeno Positively Radiant Skin Brightening Daily Scrub for softer, smoother skin This brightening facial scrub cleanses skin and helps improve skin tone, texture, and clarity Its unique formula contains moisture-rich soy extract and naturally derived granules The exfoliating cleanser is designed to gently remove impurities for softer, brighter skin This brightening face scrub is formulated with jojoba and castor oils From a dermatologist recommended skin care brand, this face scrub is soap-free and hypoallergenic It is suitable for everyday use and sensitive skin, and is non-comedogenic so it won’t clog pores Positively Radiant collection is designed to enhance natural radiance for a lit-from-within glow",,,2025-08-25,,,,381371181919.0,,"https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2616_7906762332.png, https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2616_1104346553.jpg, https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2616_1104346553-510x667.jpg",,,,,,,,,,,https://www.lisabeautysupply.com/product/aveeno-positively-radiant-skin-brightening-exfoliating-face-scrub-7-oz/
3,Pr. Francoise Bedon Supreme Lightening Beauty Cream with Argan Oil 1.69 oz,skin care,Cream,Pr. Francoise,,,,1.69 oz,"Pr. Francoise Bedon Supreme Lightening Beauty Cream with Argan Oil 1.69 oz Pr. Francoise Bedon Supreme Tube Cream Lightening with Argan Oil 1.69oz/50ml Professor Francoise Bedon Lightening Cream SUPREME effectively fights against dark spots of the skin, natural or accidental marks and scars like cause by pregnancy, ageing or sun exposure. This cream enriches with argan oil is formulated using vegetable extracts, carefully chosen to leave you a smooth, clear and free from spots skin.",,,2025-08-25,,,,3045621624621.0,,,,,,,,,,,,,https://www.lisabeautysupply.com/product/pr-francoise-bedon-supreme-lightening-beauty-cream-with-argan-oil-1-69-oz/
4,Nutriclair Carrot Clarifying Moisturizing Milk 17 oz,skin care,Milk,Nutriclair Carrot,,,,17 oz,"Nutriclair Carrot Clarifying Moisturizing Milk 17 oz This high quality milk NUTRCLAIR contains two plant ingredients for a natural lightening and carrot oil with vitamins to brighten your complexion. Rich in Shea Butter and Argan Oil, it is an excellent skincare that will hydrate and nourish your skin. This moisturizing milk will give your skin the suppleness and hydration it needs and will give you a brighter complexion. To be used once or twice daily on the face or body.",,,2025-08-25,,,,5425024360063.0,,"https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2615_7667333192-768x243.png, https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2615_7667333192.png, https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2615_11089801986.png, https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2615_7667333192-510x161.png, https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2615_7667333192-800x253.png",,,,,,,,,,,https://www.lisabeautysupply.com/product/nutriclair-carrot-clarifying-moisturizing-milk-17-oz/
5,Easy White Express Carrot Radiance and Clarity Body Lotion 16.9 oz,skin care,Lotion,Easy White,,,,16.9 oz,"Easy White Express Carrot Radiance Body Lotion 16.9 oz Thanks to rebalancing actions of Carrot Extract, this Body Care is suitable for all types of shades of skin, it revives the complexion for optimal brightness. CocoaButter acts as a powerful antioxidant to protect the skin from daily agggression (sun,pollution, fatigue, stress). Rich in Vitamins A,B,C,E it promotes the regeneration of skin cells and provides them with hydration while fighting against stretch marks. The complexion is perfectly unified, glowing and revived from the first application, the epidermis is restructed. The skin becomes clearer, more beautiful and uniform.",,,2025-08-25,,,,7640144937416.0,,https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2613_26170789769.png,,,,,,,,,,,https://www.lisabeautysupply.com/product/easy-white-express-carrot-radiance-and-clarity-body-lotion-16-9-oz/
6,Clear Quick Active Gel 3.45 oz,skin care,Gel,Clear Quick,,,,3.45 oz,Clear Quick Active Gel 3.45 oz This important skin care is specially formulated to give a rich and smooth complexion. It helps to eliminate dark spots and protects your skin against harmful effects of UV rays.,,,2025-08-25,,,,877418000638.0,,https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2616_8101593743.png,,,,,,,,,,,https://www.lisabeautysupply.com/product/clear-quick-active-gel-3-45-oz/
7,Pure Skin Black Spot Corrector Lotion 1 oz,skin care,Lotion,Pure Skin,,,,1 oz,"Pure Skin Black Spot Corrector Lotion 1 oz Dark Spot Acne-Scars-Concealer Black Spot Corrector lotion for final touch correction of persisting spots and cares (knees, elbows). Avoid contact with eyes. If your skin irritated, stop use. Do not use for children under 12 years old.",,,2025-08-25,,,,6182000110621.0,,https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2612_9917377208.png,,,,,,,,,,,https://www.lisabeautysupply.com/product/pure-skin-black-spot-corrector-lotion-1-oz/
8,Clean & Clear Morning Burst Skin Brightening Facial Scrub Oil-Free 5 oz,skin care,Oil,Clean &,,,,5 oz,"Clean & Clear Morning Burst Skin Brightening Facial Scrub Oil-Free 5 oz Clean & Clear Morning Burst Skin Brightening Facial Scrub exfoliates skin to remove dirt, oil, and impurities deep down in pores. Specially formulated to reveal a visibly brighter complexion, this cleansing face scrub contains micro-beads that sweep away dull surface skin while a blend of caffeine, lemon, and papaya invigorates the senses. This exfoliating face cleanser is oil-free and non-comedogenic, so it won’t clog pores. It is safe to use as a part of your daily skin-care routine to help jump start your day and leave your face feeling fresh and clean. 5-oz tube of Clean & Clear Morning Burst Skin Brightening Facial Scrub This exfoliating facial cleanser removes dirt, oil, and impurities Formulated with micro-beads to remove dead surface skin Made with caffeine, lemon, and papaya to help leave your skin feeling fresh and clean This brightening scrub is great to use in the morning to help wake up your skin and start the day Ideal for use on normal, oily, combination, and acne-prone skin The oil-free, non-comedogenic formula won’t clog pores and is suitable for daily use For use wet your face, work scrub into a lather, then gently massaging all over face and rinse",,,2025-08-25,,,,381371020829.0,,"https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2617_1234393505.jpg, https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2617_1234291572.png",,,,,,,,,,,https://www.lisabeautysupply.com/product/clean-clear-morning-burst-skin-brightening-facial-scrub-oil-free-5-oz/
9,G & G Dynamiclair Beauty Soap 6.7 oz / 200g,skin care,Soap,G &,,,,"6.7 oz, 200g","G & G Dynamiclair Beauty Soap 6.7 oz This is an erasing and lightening care. its sleek and new formula will nelt into your skin, clean and hydrate your skin by smoothing and illuminating your skin.",,,2025-08-25,,,,752301002053.0,,https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2613_1660264574.png,,,,,,,,,,,https://www.lisabeautysupply.com/product/g-g-dynamiclair-beauty-soap-6-7-oz-200g/
10,Pr. Francoise Bedon Homme Lightening Lotion for Men 16.8 oz,skin care,Lotion,Pr. Francoise,,,,16.8 oz,"Pr. Francoise Bedon Homme Lightening Lotion for Men 16.8 oz Professor Francoise Bedon Care for Men, specially adapted to black and half-caste skins, is performed by its 100% natural plants and Shea butter content. This formula treats and helps to eliminate scars and marks the ones caused by ageing or sun exposure. Moreover it is enriched with Shea butter, particularly repairing and soothing. It also contains Vitamin E to protect the skin from ageing and free radicals.",,,2025-08-25,,,,3045621624577.0,,https://www.lisabeautysupply.com/wp-content/uploads/2023/03/yhst-88462588038071_2617_6916245656.png,,,,,,,,,,,https://www.lisabeautysupply.com/product/pr-francoise-bedon-homme-lightening-lotion-for-men-16-8-oz/
